"","nome_municipio","num_habilidade","ch.total","lc.total","mt.total","cn.total","ch.acertos","lc.acertos","mt.acertos","cn.acertos","ch.acuracia","lc.acuracia","mt.acuracia","cn.acuracia"
"122","Camaragibe",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"123","Camaragibe",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"124","Camaragibe",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"125","Camaragibe",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"126","Camaragibe",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"127","Camaragibe",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"128","Camaragibe",8,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"129","Camaragibe",9,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"130","Camaragibe",10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"131","Camaragibe",11,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"132","Camaragibe",12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"133","Camaragibe",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"134","Camaragibe",14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"135","Camaragibe",15,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"136","Camaragibe",16,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"137","Camaragibe",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"138","Camaragibe",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"139","Camaragibe",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"140","Camaragibe",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"141","Camaragibe",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"142","Camaragibe",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"143","Camaragibe",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"144","Camaragibe",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"145","Camaragibe",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"146","Camaragibe",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"147","Camaragibe",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"148","Camaragibe",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"149","Camaragibe",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"150","Camaragibe",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"151","Camutanga",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"152","Camutanga",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"153","Camutanga",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"154","Camutanga",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"155","Camutanga",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"156","Camutanga",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"157","Camutanga",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"158","Camutanga",8,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"159","Camutanga",9,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"160","Camutanga",10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"161","Camutanga",11,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"162","Camutanga",12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"163","Camutanga",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"164","Camutanga",14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"165","Camutanga",15,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"166","Camutanga",16,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"167","Camutanga",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"168","Camutanga",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"169","Camutanga",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"170","Camutanga",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"171","Camutanga",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"172","Camutanga",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"173","Camutanga",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"174","Camutanga",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"175","Camutanga",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"176","Camutanga",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"177","Camutanga",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"178","Camutanga",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"179","Camutanga",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"180","Camutanga",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"181","Caruaru",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"182","Caruaru",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"183","Caruaru",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"184","Caruaru",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"185","Caruaru",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"186","Caruaru",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"187","Caruaru",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"188","Caruaru",8,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"189","Caruaru",9,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"190","Caruaru",10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"191","Caruaru",11,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"192","Caruaru",12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"193","Caruaru",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"194","Caruaru",14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"195","Caruaru",15,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"196","Caruaru",16,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"197","Caruaru",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"198","Caruaru",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"199","Caruaru",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"200","Caruaru",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"201","Caruaru",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"202","Caruaru",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"203","Caruaru",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"204","Caruaru",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"205","Caruaru",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"206","Caruaru",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"207","Caruaru",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"208","Caruaru",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"209","Caruaru",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"210","Caruaru",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"211","Cedro",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"212","Cedro",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"213","Cedro",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"214","Cedro",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"215","Cedro",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"216","Cedro",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"217","Cedro",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"218","Cedro",8,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"219","Cedro",9,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"220","Cedro",10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"221","Cedro",11,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"222","Cedro",12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"223","Cedro",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"224","Cedro",14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"225","Cedro",15,0,0,0,0,0,0,0,0,NA,NA,NA,NA
